History prices for ^RUT
tradedate, open, high, low, close, volume
07/30/2008,716.5,721.68,708.88,718.86,0.0
07/31/2008,715.08,720.88,711.23,714.52,0.0
08/01/2008,714.92,718.45,706.25,716.14,0.0
08/04/2008,715.56,715.56,700.18,704.14,0.0
08/05/2008,707.32,721.26,707.31,721.04,0.0
08/06/2008,719.34,727.71,714.46,725.9,0.0
08/07/2008,722.33,724.27,711.76,713.41,0.0
08/08/2008,712.92,735.09,711.19,734.3,0.0
08/11/2008,734.18,757.1,732.67,751.06,0.0
08/12/2008,749.24,750.12,742.21,744.94,0.0
08/13/2008,743.75,750.51,737.11,747.69,0.0
08/14/2008,744.76,756.92,743.56,754.38,0.0
08/15/2008,759.26,764.38,746.93,753.37,0.0
08/18/2008,753.35,754.41,737.95,741.97,0.0
08/19/2008,738.88,739.04,726.9,730.03,0.0
08/20/2008,730.75,738.57,724.83,731.6,0.0
08/21/2008,728.11,729.85,722.46,725.25,0.0
08/22/2008,725.3,738.78,725.3,737.6,0.0
08/25/2008,736.1,736.1,718.06,720.54,0.0
08/26/2008,720.29,726.41,716.65,723.51,0.0
08/27/2008,723.43,735.55,723.29,732.95,0.0
08/28/2008,733.97,747.79,733.97,747.79,0.0
08/29/2008,745.46,745.6,737.14,739.5,0.0
09/02/2008,745.12,754.97,731.57,738.51,0.0
09/03/2008,738.28,747.59,735.42,741.91,0.0
09/04/2008,738.91,738.91,716.4,718.62,0.0
09/05/2008,716.37,721.49,702.98,718.85,0.0
09/08/2008,726.78,739.92,722.9,732.86,0.0
09/09/2008,732.02,738.11,707.29,707.29,0.0
09/10/2008,711.96,721.83,705.28,717.16,0.0
09/11/2008,712.32,719.19,700.49,719.0,0.0
09/12/2008,715.71,723.58,711.33,720.26,0.0
09/15/2008,718.5,718.5,689.76,689.76,0.0
09/16/2008,685.59,710.65,679.24,710.65,0.0
09/17/2008,704.39,706.08,676.22,676.38,0.0
09/18/2008,679.04,723.68,672.81,723.68,0.0
09/19/2008,743.74,761.78,740.11,753.74,0.0
09/22/2008,751.66,751.66,720.36,720.44,0.0
09/23/2008,720.5,724.66,709.19,709.19,0.0
09/24/2008,710.82,713.84,697.77,697.77,0.0
09/25/2008,699.39,713.0,699.39,705.74,0.0
09/26/2008,698.91,705.52,691.19,704.79,0.0
09/29/2008,698.16,698.91,657.72,657.72,0.0
09/30/2008,661.46,681.84,657.17,679.58,0.0
10/01/2008,676.21,676.21,664.89,671.59,0.0
10/02/2008,671.18,671.18,636.37,637.67,0.0
10/03/2008,638.14,656.47,619.4,619.4,0.0
10/06/2008,617.51,617.51,566.3,595.91,0.0
10/07/2008,617.51,602.23,590.42,597.03,0.0
