Symbol,Company,Country,GICS,Sector,Price
MEE            ,Massey Energy Company,US                ,10        ,Energy,      42.10
MA             ,Mastercard Inc.,US                ,45        ,Information Technology,     213.32
MAT            ,Mattel  Inc.,US                ,25        ,Consumer Discretionary,      19.32
MBI            ,MBIA Inc.,US                ,40        ,Financials,      14.20
MKC            ,McCormick & Co.,US                ,30        ,Consumer Staples,      40.75
MCD            ,McDonald's Corp.,US                ,25        ,Consumer Discretionary,      63.20
MHP            ,McGraw-Hill,US                ,25        ,Consumer Discretionary,      43.75
MCK            ,McKesson Corp. (New),US                ,35        ,Health Care,      57.90
MWV            ,MeadWestvaco Corporation,US                ,15        ,Materials,      27.42
MHS            ,Medco Health Solutions Inc.,US                ,35        ,Health Care,      48.06
MDT            ,Medtronic Inc.,US                ,35        ,Health Care,      53.84
WFR            ,MEMC Electronic Materials,US                ,45        ,Information Technology,      34.05
MRK            ,Merck & Co.,US                ,35        ,Health Care,      33.52
MDP            ,Meredith Corp.,US                ,25        ,Consumer Discretionary,      29.19
MER            ,Merrill Lynch,US                ,40        ,Financials,      23.30
MET            ,MetLife Inc.,US                ,40        ,Financials,      57.00
MTG            ,MGIC Investment,US                ,40        ,Financials,       6.52
MCHP           ,Microchip Technology,US                ,45        ,Information Technology,      28.90
MU             ,Micron Technology,US                ,45        ,Information Technology,       4.91
MSFT           ,Microsoft Corp.,US                ,45        ,Information Technology,      26.44
MIL            ,Millipore Corp.,US                ,35        ,Health Care,      74.09
MOLX           ,Molex Inc.,US                ,45        ,Information Technology,      24.00
TAP            ,Molson Coors Brewing Company,US                ,30        ,Consumer Staples,      48.68
MON            ,Monsanto Co.,US                ,15        ,Materials,     101.00
MNST           ,Monster Worldwide,US                ,20        ,Industrials,      19.26
MCO            ,Moody's Corp,US                ,40        ,Financials,      39.02
MS             ,Morgan Stanley,US                ,40        ,Financials,      38.92
MOT            ,Motorola Inc.,US                ,45        ,Information Technology,       8.31
MUR            ,Murphy Oil,US                ,10        ,Energy,      67.60
MYL            ,Mylan Inc.,US                ,35        ,Health Care,      11.47
NBR            ,Nabors Industries Ltd.,US                ,10        ,Energy,      28.30
NCC            ,National City Corp.,US                ,40        ,Financials,       4.79
NOV            ,National Oilwell Varco  Inc.,US                ,10        ,Energy,      55.41
NSM            ,National Semiconductor,US                ,45        ,Information Technology,      18.07
NTAP           ,NetApp  Inc.,US                ,45        ,Information Technology,      23.84
NYT            ,New York Times Cl. A,US                ,25        ,Consumer Discretionary,      13.96
NWL            ,Newell Rubbermaid Co.,US                ,25        ,Consumer Discretionary,      20.07
NEM            ,Newmont Mining Corp. (Hldg. Co.),US                ,15        ,Materials,      37.71
NWS.A          ,News Corporation,US                ,25        ,Consumer Discretionary,      13.80
GAS            ,NICOR Inc.,US                ,55        ,Utilities,      47.13
NKE            ,NIKE Inc.,US                ,25        ,Consumer Discretionary,      59.87
NI             ,NiSource Inc.,US                ,55        ,Utilities,      16.17
NE             ,Noble Corporation,US                ,10        ,Energy,      43.04
NBL            ,Noble Energy  Inc,US                ,10        ,Energy,      59.22
JWN            ,Nordstrom,US                ,25        ,Consumer Discretionary,      34.97
NSC            ,Norfolk Southern Corp.,US                ,20        ,Industrials,      65.47
NTRS           ,Northern Trust Corp.,US                ,40        ,Financials,      83.70
NOC            ,Northrop Grumman Corp.,US                ,20        ,Industrials,      69.99
NOVL           ,Novell Inc.,US                ,45        ,Information Technology,       5.79
NVLS           ,Novellus Systems,US                ,45        ,Information Technology,      21.60
NUE            ,Nucor Corp.,US                ,15        ,Materials,      44.25
NVDA           ,NVIDIA Corp.,US                ,45        ,Information Technology,      10.82
NYX            ,NYSE Euronext,US                ,40        ,Financials,      38.24
OXY            ,Occidental Petroleum,US                ,10        ,Energy,      69.86
ODP            ,Office Depot,US                ,25        ,Consumer Discretionary,       7.76
OMC            ,Omnicom Group,US                ,25        ,Consumer Discretionary,      41.66
ORCL           ,Oracle Corp.,US                ,45        ,Information Technology,      19.16
PCAR           ,PACCAR Inc.,US                ,20        ,Industrials,      42.67
PTV            ,Pactiv Corp.,US                ,15        ,Materials,      26.87
PLL            ,Pall Corp.,US                ,20        ,Industrials,      37.24
PH             ,Parker-Hannifin,US                ,20        ,Industrials,      59.85
PDCO           ,Patterson Cos. Inc.,US                ,35        ,Health Care,      31.60
PAYX           ,Paychex Inc.,US                ,45        ,Information Technology,      33.10
